site,variable,statCd
80662,00060,00003
80666,00060,00003
80668,00060,00003
80705,00060,00003
80728,00060,00003
80751,00060,00003
80765,00060,00003
80770,00060,00003
80789,00060,00003
80799,00060,00003
80803,00060,00003
80808,00060,00003
80820,00060,00003
80825,00060,00003
80830,00060,00003
80888,00060,00003
80896,00060,00003
80908,00060,00003
80911,00060,00003
81389,00060,00003
81417,00060,00003
81434,00060,00003
81438,00060,00003
81442,00060,00003
81453,00060,00003
81465,00060,00003
81827,00060,00003
81830,00060,00003
81837,00060,00003
81845,00060,00003
81849,00060,00003
81852,00060,00003
81856,00060,00003
81863,00060,00003
81871,00060,00003
81874,00060,00003
81882,00060,00003
81887,00060,00003
81903,00060,00003
81904,00060,00003
81908,00060,00003
81913,00060,00003
81915,00060,00003
81920,00060,00003
81980,00060,00003
319751,00060,00003
326176,00054,32400
45235,00060,00003
326178,00060,00003
326181,00060,00003
45257,00060,00003
45259,00060,00003
45261,00060,00003
45634,00060,00003
45649,00060,00003
326216,00060,00003
46334,00060,00003
46357,00060,00003
46359,00060,00003
46367,00060,00003
82160,72019,00003
